Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Soluciones corporativas/a_INSPIRACIN""))",Firefox 70.0,,,2019-12-16 18:05:07,2019-12-16 18:05:08,"1,161s",PASSED
"click(findTestObject(""Page_Inspiracin/a_CONTACTO""))",Firefox 70.0,,,2019-12-16 18:05:08,2019-12-16 18:05:11,"2,136s",PASSED
"click(findTestObject(""Object Repository/Page_RV Inmobiliaria/a_INMUEBLES (1)""))",Firefox 70.0,,,2019-12-16 18:05:11,2019-12-16 18:05:13,"2,231s",PASSED
,,,,,,,
Test Cases/RvInmobiliariaAdmin/RvInmobiliariaAdmin,Firefox 70.0,,,2019-12-16 18:05:13,2019-12-16 18:05:22,"9,632s",PASSED
"openBrowser("""")",Firefox 70.0,,,2019-12-16 18:05:13,2019-12-16 18:05:18,"4,485s",PASSED
maximizeWindow(),Firefox 70.0,,,2019-12-16 18:05:18,2019-12-16 18:05:18,"0,009s",PASSED
"navigateToUrl(""https://rv.sitioweb.doctusdev.com/admin"")",Firefox 70.0,,,2019-12-16 18:05:18,2019-12-16 18:05:19,"1,048s",PASSED
"setText(findTestObject(""Object Repository/Page_Iniciar Sesin/input_Usuario_UserName""), ""wotalvaro"")",Firefox 70.0,,,2019-12-16 18:05:19,2019-12-16 18:05:19,"0,322s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Iniciar Sesin/input_Contrasea_Password""), ""aeHFOx8jV/A="")",Firefox 70.0,,,2019-12-16 18:05:19,2019-12-16 18:05:19,"0,322s",PASSED
"click(findTestObject(""Object Repository/Page_Iniciar Sesin/input_Olvid mi contrasea_btn btn-default""))",Firefox 70.0,,,2019-12-16 18:05:19,2019-12-16 18:05:20,"1,083s",PASSED
"click(findTestObject(""Object Repository/Page_ADMIN - Bienvenido/a_wotalvaro""))",Firefox 70.0,,,2019-12-16 18:05:20,2019-12-16 18:05:21,"0,504s",PASSED
"click(findTestObject(""Object Repository/Page_ADMIN - Bienvenido/a_Cerrar Sesin""))",Firefox 70.0,,,2019-12-16 18:05:21,2019-12-16 18:05:21,"0,655s",PASSED
closeBrowser(),Firefox 70.0,,,2019-12-16 18:05:21,2019-12-16 18:05:22,"0,943s",PASSED
